id,parentId,childrenIds,title,genre,tags,thumbnail,youtubeUrl,remixMoviePath
1,,"[2,3]",,,,,,
2,1,,,歌ってみた,#Ryuk #死神リューク,,https://www.youtube.com/watch?v=5Ens7TZzgG0,
3,1,,,歌ってみた,#BalladRemix #MoritzGarth,,https://www.youtube.com/watch?v=hcpI9auZmpI,
　　　　　　　　　　４,1,,,歌ってみた,#Metal,,https://www.youtube.com/watch?v=fjV91oI5cL0,
　　　　　　　　　　５,1,,,BGM,＃ＰＳＹ,,https://www.youtube.com/watch?v=QtcaBVUc,
　　　　　　　　　　６,1,,,替え歌　踊ってみた,#ねば～る君,,https://www.youtube.com/wW2ratch?v=_kNZeOupQK8,
　　　　　　　　　　７,1,,,演奏,#EDMRmix,,https://youtu.be/b1iNDME9oZM?list=PL1QA4oODLbgVf4fbrf5PiO4sRmCCIONbJ,
　　　　　　　　　　８,1,,,演奏,#BeatBox,,https://youtu.be/AdpD_RRft2s?list=PL1QA4oODLbgVf4fbrf5PiO4sRmCCIONbJ,
　　　　　　　　　　９,1,,,歌ってみた,#R＆B #Ballad,,https://youtu.be/oGZYNHdTsgA?list=PL1QA4oODLbgVf4fbrf5PiO4sRmCCIONbJ,
　　　　　　　　　１０,1,,,歌ってみた,#jazz,,https://youtu.be/iSiRAocqOiI?list=PL1QA4oODLbgVf4fbrf5PiO4sRmCCIONbJ,
　　　　　　　　　１１,1,,,替え歌　歌ってみた,#ブライアン　#クラブ,,https://youtu.be/IdlUW7gSRcg,
1,,,,,,,,
2,1,,,歌ってみた,#Posthardcore,,https://youtu.be/0Auoa5qWUmE,
3,1,,,演奏,#エレクトーン,,https://youtu.be/LPQ2HFRM9OU,
4,1,,,踊ってみた,#ブレイクアレンジ,,https://youtu.be/gTUpV0wNuME,
5,1,,,演奏,#ROCK #ロック,,https://youtu.be/NOcdqLqbvCY,
6,1,,,踊ってみた,#bi4am,,https://youtu.be/O0t3hdT2E9U,
7,1,,,歌ってみた　イラスト,#ヨシズキ参謀,,https://youtu.be/4RSSFDBDsu8,
8,1,,,替え歌　歌ってみた,#Countryhuman,,https://youtu.be/rHxC01bUrSc ,
9,1,,,替え歌　歌ってみた,#POPULARIDOL #TEN6,,https://youtu.be/xxUCtUSPQBw,
10,1,,,演奏,#吹奏楽,,https://youtu.be/gIGRRDdtGT8,
11,1,,,踊ってみた,#298プロジェクト,,https://youtu.be/XPcyF2ANDmI,
